"","計測時間","2020 / 07 / 01  12:53 - 13:00"
"","コメント1",""
"","コメント2",""
"","コメント3",""
"","フォルダ","Sample_X"
"","試料距離（モニタ）","27.000 [mm]"
"","試料距離（解析）","28.368 [mm]"
"","X線入射角度","18.0 [deg]"

"","残留応力"

"","解析条件" 1,"σx",---,"標準偏差",---
"","","τxy",---,"標準偏差",---


"","半価幅"

"","解析条件" 1,"半価幅",---


"","残留オーステナイト"

"","解析条件" 1,"γRi",24.5 [%]

"","残留オーステナイト",,,,,,,,
"","α","γRi","γR （ピーク強度）","積分強度 α","積分強度 γ","ピーク強度 α","ピーク強度 γ","半価幅 α","半価幅 γ"
"","14.40","24.2","35.6","193964.8","52190.3","141818.6","62099.7","6.69","1.98"
"","15.12","24.0","35.3","195160.9","51952.6","142450.3","61238.6","6.70","2.00"
"","15.84","23.9","34.9","196557.9","51850.5","143115.5","60431.7","6.71","2.03"
"","16.56","23.8","34.6","197989.5","51943.7","143721.2","59767.3","6.74","2.05"
"","17.28","23.8","34.3","199311.6","52227.0","144213.5","59300.6","6.76","2.08"
"","18.00","23.8","34.2","200447.3","52674.0","144631.8","59029.4","6.78","2.11"
"","18.72","23.9","34.1","201328.9","53214.0","144854.7","58914.1","6.80","2.13"
"","19.44","24.0","34.1","201991.3","53758.7","145001.4","58896.1","6.81","2.15"
"","20.16","24.1","34.1","202459.2","54217.6","145078.5","58917.4","6.82","2.17"
"","20.88","24.2","34.1","202711.9","54517.5","144991.0","58942.8","6.84","2.18"
"","21.60","24.2","34.1","202775.9","54612.2","144893.6","58928.9","6.84","2.19"
"","22.32","24.2","34.2","202568.1","54515.3","144645.9","59002.3","6.85","2.18"
"","23.04","24.2","34.3","202056.6","54249.4","144229.9","59115.7","6.85","2.17"
"","23.76","24.1","34.4","201239.9","53881.3","143655.4","59290.5","6.85","2.15"
"","24.48","24.1","34.6","200172.8","53510.5","142962.3","59546.0","6.85","2.12"
"","25.20","24.1","34.8","198958.6","53219.4","142211.3","59879.1","6.84","2.10"
"","25.92","24.2","35.1","197726.4","53083.5","141484.4","60271.9","6.83","2.08"
"","26.64","24.3","35.3","196610.2","53122.9","140858.6","60696.6","6.82","2.07"
"","27.36","24.4","35.5","195706.9","53321.4","140399.1","61115.5","6.82","2.06"
"","28.08","24.6","35.7","195079.7","53648.8","140153.9","61508.3","6.81","2.06"
"","28.80","24.7","35.8","194732.8","54038.6","140126.0","61866.0","6.79","2.06"
"","29.52","24.9","35.9","194624.0","54435.5","140305.2","62199.3","6.78","2.07"
"","30.24","25.0","36.0","194673.7","54782.1","140659.4","62524.1","6.77","2.07"
"","30.96","25.1","36.0","194785.5","55031.1","141139.7","62842.5","6.75","2.07"
"","31.68","25.1","36.0","194893.2","55149.5","141686.5","63141.0","6.73","2.06"
"","32.40","25.1","36.0","194950.9","55115.4","142248.5","63380.0","6.70","2.05"
"","33.12","25.0","36.0","194956.2","54929.1","142782.3","63570.6","6.68","2.04"
"","33.84","24.9","35.9","194945.7","54575.7","143262.1","63550.6","6.65","2.03"
"","34.56","24.7","35.8","194986.2","54096.3","143676.0","63336.9","6.64","2.02"
"","35.28","24.6","35.6","195128.2","53535.8","144020.4","62941.1","6.62","2.01"
"","36.00","24.3","35.4","195413.2","52946.0","144299.3","62375.4","6.62","2.00"
"","36.72","24.1","35.1","195868.7","52408.7","144519.3","61812.4","6.63","2.00"
"","37.44","23.9","34.9","196516.0","51969.4","144700.0","61250.3","6.64","2.00"
"","38.16","23.8","34.7","197355.2","51661.1","144871.5","60715.8","6.66","2.01"
"","38.88","23.6","34.6","198375.8","51509.8","145068.8","60320.4","6.69","2.02"
"","39.60","23.5","34.4","199553.8","51472.4","145322.2","59968.7","6.71","2.03"
"","40.32","23.4","34.2","200837.5","51503.8","145638.1","59649.7","6.74","2.04"
"","41.04","23.3","34.1","202149.3","51563.5","145997.2","59351.7","6.77","2.05"
"","41.76","23.3","33.9","203373.9","51614.6","146349.5","59072.7","6.79","2.06"
"","42.48","23.2","33.8","204398.5","51646.6","146602.0","58833.5","6.82","2.07"
"","43.20","23.1","33.8","205133.4","51651.4","146686.1","58656.2","6.84","2.08"
"","43.92","23.1","33.7","205510.8","51641.0","146562.4","58578.3","6.86","2.08"
"","44.64","23.1","33.8","205521.0","51629.5","146229.1","58628.3","6.87","2.08"
"","45.36","23.1","33.9","205198.3","51632.6","145727.6","58833.1","6.88","2.07"
"","46.08","23.2","34.2","204622.9","51671.4","145144.9","59193.1","6.89","2.06"
"","46.80","23.3","34.4","203888.9","51766.9","144560.6","59703.0","6.90","2.05"
"","47.52","23.4","34.7","203087.2","51940.9","144041.9","60352.3","6.89","2.03"
"","48.24","23.5","35.0","202286.4","52211.3","143628.6","61124.8","6.89","2.02"
"","48.96","23.7","35.4","201512.4","52587.6","143313.7","62003.0","6.87","2.00"
"","49.68","23.9","35.8","200768.1","53093.9","143071.6","63030.3","6.86","1.99"
"","50.40","24.2","36.1","200049.1","53701.7","142876.0","64056.6","6.85","1.98"
"","51.12","24.5","36.5","199330.5","54422.8","142673.6","65072.7","6.83","1.97"
"","51.84","24.8","36.9","198591.2","55252.3","142458.9","66023.2","6.82","1.98"
"","52.56","25.1","37.2","197825.8","56185.8","142248.2","66859.1","6.80","1.98"
"","53.28","25.5","37.4","197031.2","57206.0","142061.4","67550.2","6.78","2.00"
"","54.00","25.9","37.6","196236.0","58294.8","141921.1","68082.0","6.76","2.02"
"","54.72","26.3","37.7","195479.9","59396.0","141830.8","68447.4","6.74","2.05"
"","55.44","26.7","37.8","194805.9","60451.2","141781.6","68640.5","6.72","2.08"
"","56.16","27.0","37.8","194253.3","61381.2","141750.6","68654.7","6.70","2.11"
"","56.88","27.3","37.8","193835.7","62092.4","141710.7","68481.5","6.69","2.14"
"","57.60","27.4","37.7","193556.7","62503.9","141649.4","68134.4","6.68","2.17"
"","58.32","27.5","37.5","193411.7","62577.7","141569.6","67699.3","6.68","2.18"
"","59.04","27.4","37.4","193402.6","62255.6","141489.1","67119.6","6.68","2.19"
"","59.76","27.2","37.2","193556.1","61558.5","141453.9","66472.5","6.69","2.19"
"","60.48","26.8","36.9","193899.8","60540.3","141468.3","65812.9","6.70","2.17"
"","61.20","26.4","36.7","194466.6","59303.8","141542.4","65195.2","6.72","2.15"
"","61.92","25.9","36.5","195261.1","57950.1","141669.9","64662.4","6.74","2.12"
"","62.64","25.4","36.4","196248.4","56599.2","141825.8","64248.4","6.77","2.08"
"","63.36","24.9","36.2","197316.3","55347.2","141985.3","63962.4","6.79","2.04"
"","64.08","24.5","36.2","198316.7","54261.0","142081.8","63757.9","6.82","2.01"
"","64.80","24.2","36.1","199069.5","53399.9","142065.5","63689.8","6.85","1.98"
"","65.52","24.0","36.2","199433.7","52788.3","141913.3","63674.0","6.87","1.96"
"","66.24","23.8","36.2","199338.6","52432.6","141626.6","63685.1","6.88","1.94"
"","66.96","23.9","36.3","198803.2","52323.1","141228.1","63715.5","6.88","1.94"
"","67.68","24.0","36.4","197917.5","52433.5","140756.4","63773.2","6.87","1.94"
"","68.40","24.2","36.5","196811.3","52725.5","140246.7","63886.1","6.86","1.95"
"","69.12","24.4","36.6","195619.8","53152.5","139734.6","64073.0","6.84","1.96"
"","69.84","24.6","36.8","194465.4","53658.6","139261.0","64343.8","6.83","1.97"
"","70.56","24.9","37.0","193411.0","54171.6","138813.1","64687.4","6.81","1.98"
"","71.28","25.1","37.2","192500.7","54621.0","138408.0","65055.1","6.80","1.98"
"","72.00","25.3","37.3","191751.5","54939.0","138079.9","65380.7","6.79","1.98"
"","72.72","25.4","37.4","191179.3","55094.4","137851.0","65603.5","6.78","1.98"
"","73.44","25.4","37.5","190761.4","55075.8","137736.9","65657.3","6.77","1.98"
"","74.16","25.4","37.4","190485.8","54905.4","137762.2","65511.5","6.76","1.98"
"","74.88","25.3","37.3","190329.5","54625.9","137893.6","65153.8","6.75","1.98"
"","75.60","25.2","37.0","190304.9","54286.5","138205.1","64606.1","6.73","1.98"
"","76.32","25.1","36.8","190395.8","53947.2","138620.8","63954.5","6.72","1.99"
"","77.04","25.0","36.4","190586.2","53637.1","139098.4","63201.3","6.70","2.00"
"","77.76","24.9","36.1","190869.0","53376.9","139585.3","62435.5","6.69","2.02"
"","78.48","24.8","35.8","191229.9","53160.6","140045.1","61736.6","6.68","2.03"
"","79.20","24.7","35.5","191651.9","52951.5","140445.8","61181.5","6.67","2.04"
"","79.92","24.6","35.4","192113.9","52738.1","140784.3","60834.3","6.67","2.05"
"","80.64","24.4","35.3","192595.7","52510.4","141061.6","60721.8","6.68","2.04"
"","81.36","24.3","35.3","193080.5","52296.0","141293.8","60817.7","6.68","2.03"
"","82.08","24.3","35.4","193543.5","52151.8","141497.5","61171.5","6.69","2.01"
"","82.80","24.2","35.5","193959.7","52099.7","141683.1","61663.2","6.69","1.99"
"","83.52","24.2","35.7","194318.6","52146.1","141904.9","62196.4","6.70","1.98"
"","84.24","24.2","35.8","194569.9","52271.5","142061.3","62653.3","6.70","1.97"
"","84.96","24.2","35.9","194730.8","52433.1","142218.2","62934.1","6.69","1.97"
"","85.68","24.3","35.9","194813.3","52595.2","142358.5","63035.1","6.69","1.97"
"","86.40","24.3","35.8","194860.2","52703.5","142504.8","62835.6","6.69","1.98"
"","87.12","24.3","35.6","194915.5","52760.0","142676.7","62417.6","6.68","2.00"
"","87.84","24.3","35.4","195018.8","52761.9","142890.3","61852.1","6.67","2.01"
"","88.56","24.3","35.2","195182.6","52760.4","143131.1","61235.1","6.67","2.03"
"","89.28","24.3","34.9","195382.6","52813.0","143359.7","60728.6","6.66","2.05"
"","90.00","24.3","34.8","195545.7","52953.3","143506.9","60308.4","6.66","2.07"
"","90.72","24.4","34.7","195567.9","53224.4","143503.9","60058.3","6.66","2.09"
"","91.44","24.6","34.7","195335.7","53612.9","143298.7","59989.5","6.66","2.11"
"","92.16","24.8","34.8","194760.7","54088.0","142860.3","60077.6","6.67","2.13"
